127206144 2020 17754 1507
430740 2761 6886 2183
27689972 1913 15467 1709
8185136 2130 11791 944
11246 45 419 5
484256 3111 6167 2486
17550675 2081 9736 1899
1234877 5827 1719 6001
428650 2421 8913 688
49 5 5 6
4007383 1936 13397 1352
76367 1267 4647 738
2624331 2346 6433 456
492564 6977 1661 4635
1273389 5312 2187 280
24382 381 2216 193
102252 2367 4609 1729
8562 266 907 156
28704672 2782 6634 2319
1015156 2187 12973 1294
3996 364 376 378
294276 1664 10853 1660
56934 1377 3203 560
3083796 8226 950 2665
574458 6086 2459 3540
8580313 6749 2215 3567
711558 4975 2293 3564
3105536 48113 25426 4343
