127206144 7752 8527
430740 13441 17923
27689972 6203 6001
8185136 10570 3775
11246 2688 58
484256 13627 13849
17550675 6803 10539
1234877 9442 5489
428650 13806 4648
49 28 35
4007383 21728 15798
76367 8653 5192
2624331 10075 1961
766396 5329 0
492564 9921 11466
1273389 12701 1620
24382 4818 3358
102252 10152 8612
8562 2848 2457
28704672 7209 6174
1015156 14994 16959
3996 1486 1486
294276 13665 12766
56934 7659 3465
3083796 7366 2147
574458 8526 10182
8580313 6289 2942
711558 9077 6868
3105536 5428 5
