49 5 5 6
3996 364 376 378
8562 266 907 156
11246 45 419 5
24382 381 2216 193
56934 1377 3203 560
76367 1267 4647 738
102252 2367 4609 1729
294276 1664 10853 1660
428650 2421 8913 688

