2 1701 1531
3 2338 2225
4 3069 2912
5 3606 2986
6 4428 2376
7 5210 3027
8 5936 3326
9 6107 3540
10 6741 3870
11 7034 3842
12 7553 4879
13 7990 4659
14 8788 4614
15 9456 5014
16 8262 5460
2 874 166
3 1178 287
4 1175 380
5 1112 467
6 1020 530
7 79 471
8 53 57
9 732 335
10 648 326
11 556 289
12 590 258
13 344 244
14 398 279
15 477 228
16 394 225
2 799 346
3 1174 289
4 870 382
5 999 470
6 1239 545
7 1052 457
8 43 367
9 488 388
10 535 318
11 603 297
12 558 263
13 531 208
14 485 215
15 473 208
16 482 191
2 620 141
3 787 270
4 801 362
5 960 436
6 163 453
7 39 88
8 30 36
9 550 220
10 509 246
11 437 244
12 397 195
13 409 202
14 439 237
15 398 194
16 407 172
2 492 242
3 588 198
4 571 264
5 546 321
6 444 340
7 103 238
8 53 32
9 373 174
10 338 164
11 339 174
12 341 149
13 302 166
14 324 209
15 304 184
16 289 192
2 737 232
3 1053 501
4 846 369
5 1006 443
6 396 541
7 1366 602
8 1601 196
9 615 333
10 491 295
11 582 265
12 512 271
13 449 266
14 547 227
15 467 220
16 394 215
2 454 172
3 696 254
4 757 345
5 882 228
6 1101 259
7 110 123
8 786 69
9 479 223
10 467 204
11 388 217
12 387 202
13 305 203
14 380 183
15 388 194
16 373 150
2 780 390
3 658 300
4 854 388
5 1044 479
6 344 310
7 151 337
8 30 32
9 632 299
10 548 290
11 425 255
12 514 217
13 467 240
14 488 202
15 476 191
16 451 218
2 837 179
3 1213 494
4 1581 749
5 1067 459
6 1187 561
7 1366 658
8 118 716
9 1081 504
10 908 370
11 718 273
12 604 247
13 564 223
14 431 198
15 441 247
16 426 232
2 670 165
3 839 265
4 764 357
5 896 396
6 1080 334
7 75 86
8 24 24
9 516 268
10 473 142
11 400 150
12 453 164
13 274 136
14 428 149
15 267 144
16 336 121
2 515 171
3 734 257
4 764 343
5 790 414
6 121 395
7 363 587
8 37 24
9 490 177
10 400 170
11 422 120
12 420 157
13 393 171
14 361 156
15 378 155
16 332 150
2 669 248
3 698 199
4 722 266
5 884 276
6 1024 258
7 45 124
8 19 43
9 395 200
10 348 169
11 326 174
12 327 176
13 310 157
14 311 151
15 303 135
16 281 155
2 623 244
3 798 335
4 757 339
5 930 413
6 1084 201
7 313 135
8 30 39
9 462 250
10 460 241
11 433 241
12 351 188
13 335 203
14 386 200
15 342 175
16 322 164
2 543 189
3 830 276
4 882 373
5 1038 468
6 1241 470
7 170 233
8 61 34
9 455 343
10 516 275
11 456 245
12 484 229
13 435 180
14 437 204
15 388 187
16 427 211
2 821 215
3 789 322
4 967 362
5 1096 438
6 1089 468
7 1107 185
8 32 31
9 574 277
10 481 256
11 504 253
12 411 250
13 468 233
14 384 230
15 311 244
16 390 221
2 706 250
3 710 252
4 856 334
5 447 377
6 727 424
7 1263 391
8 27 151
9 505 256
10 409 235
11 411 228
12 445 162
13 412 179
14 332 192
15 403 192
16 340 170
2 616 184
3 764 269
4 850 300
5 1032 436
6 1063 544
7 371 406
8 162 373
9 305 296
10 519 256
11 421 241
12 487 236
13 403 212
14 399 212
15 377 212
16 340 215
2 713 250
3 571 354
4 744 331
5 926 412
6 594 426
7 106 171
8 31 31
9 447 245
10 492 262
11 457 249
12 418 217
13 422 204
14 398 199
15 420 205
16 380 188
