49 65 76
3996 1414 1078
8562 4721 3849
11246 2993 104
24382 6864 5438
56934 8076 3461
76367 8141 7684
102252 13077 6882
294276 10617 10563
430740 11626 10030
439624 11841 3481
484256 13164 8910
492564 15678 5120
657112 13579 1404
766396 6262 0
813716 8259 1135
1031302 14363 18094
1234877 8266 1930
1273389 11070 427
2724174 10311 2488
3083796 1389 473
3105536 1129 2
4069834 14629 4303
8185136 9861 5164
9808358 2146 1408
18054300 9322 8491
27689972 5554 5083
29767072 2876 2769
129370904 7329 7769
