49 0 29
3996 5128 9963
8562 9642 12226
11246 8303 12834
24382 36799 61494
56934 65724 89932
76367 178662 239750
102252 214255 323582
294276 553266 931112
430740 306967 513195
439624 230870 324879
484256 235855 340911
492564 697654 1250810
657112 654164 968761
766396 600975 1113361
813716 798785 1098124
1031302 1215635 1627448
1234877 364231 831893
1273389 2589189 5182902
2724174 4639440 9312913
3083796 6211284 12330198
3105536 1928655 4165380
4069834 4238812 8261201
8185136 3558016 3174206
9808358 7503189 12954383
18054300 10597906 21453727
27689972 10675726 14254174
29767072 44690607 119739281
129370904 37962773 64868009
