Cube_Coup_dt0, 34167069, 163659884,
FEM_3D_thermal1, 138329, 356611,
ML_Laplace, 9358519, 26029566,
PR02R, 3094439, 13028870,
adder_dcop_32, 4344, 2183845,
af23560, 188286, 447014,
af_1_k101, 3060247, 9857925,
bcsstk17, 77387, 676187,
cage4, 0, 71,
cant, 742359, 2252120,
cavity10, 26349, 140298,
cop20k_A, 459377, 7671383,
dc1, 234669, 326541012,
lung2, 137696, 750882,
mac_econ_fwd500, 351694, 8906839,
mcfe, 19, 68214,
mhd4800a, 26647, 106915,
mhda416, 6, 14412,
nlpkkt80, 5006743, 26099529,
olafu, 177608, 963277,
olm1000, 3, 4643,
raefsky2, 105349, 309911,
rdist2, 20439, 52331,
thermal1, 108500, 632239,
thermal2, 1678412, 11292674,
thermomech_TK, 144530, 820025,
1M, 1101732, -1275981865,
